artist_id,year_end_score,is_pop,year,artist_name,parent_genre
6kQB2RN7WwryMdJ1MoQh1E,138,0,2014,The Ghost Inside,Rock
0b2XeWDPeBiLeskT6RFqMb,138,0,2014,DJ Quik,Hip Hop
5imUS9dQyCbAjUEJJ9QyWC,138,0,2014,Powerman 5000,Rock
1o2NpYGqHiCq7FoiYdyd1x,137,0,2014,Bea Miller,Pop
0oxUux1OSwZpIpSK0JbqSS,137,0,2014,Austrian Death Machine,Rock
4htjQW3lgIwL6fEJlTOez4,137,0,2014,Electric Wizard,Rock
2GEcMpeGIad5O23WxDRFMn,136,0,2014,Rico Love,R&B & Funk
6NKQIkHTjxD5Ovj6znGV1n,135,0,2014,Kevin Fowler,Country & Folk
3kTcyaSYP5fqlqrNUvxiER,135,0,2014,Carman,Christian
2X6VbP5vxuup0exzZ8vhot,135,0,2014,Matty Mullins,Rock
6meTcQ79DrfkIuSLPZkpBg,135,0,2014,The Story So Far,Rock
5SjNVG3L9mgWQPsfp1sFDB,134,0,2014,Wye Oak,Avant-Garde & Experimental
6z7xFFHxYkE9t8bwIF0Bvg,134,0,2014,Boosie Badazz,Hip Hop
4fY9hRf8gHMOszNWFhR1wB,134,0,2014,OFF!,Rock
61YE3whKiuRr83j1yOm5M7,134,0,2014,Augustana,Pop
79FMDwzZQxHgSkIYBl3ODU,134,0,2014,Trace Adkins,Country & Folk
3xtIpqzIOfQUxKce8BU4Ka,133,0,2014,Crowbar,Rock
5FwydyGVcsQllnM4xM6jw4,133,0,2014,American Football,Rock
2ZfHMUPrxoZNDTBPHmmdhj,132,0,2014,moe.,Rock
3YR92OLKlvkK5oKNekSqXe,132,0,2014,Al Jarreau,Jazz
7ia4FaCVsbXvhVwagCJk7l,132,0,2014,The Orwells,Rock
1oywBXuZm8zmSivAC2rV0J,132,0,2014,Red Dragon Cartel,Rock
10gzBoINW3cLJfZUka8Zoe,131,0,2014,Above & Beyond,Electronic
21lH0EoFGV5oUmyCZuz7jg,131,0,2014,Sundy Best,Rock
1xVWSPiw5B0OduIC0DSu3V,131,0,2014,Delta Spirit,Pop
04DUpHOyQqwbHFyvIhcGi3,131,0,2014,Randy Rogers Band,Country & Folk
6mKqFxGMS5TGDZI3XkT5Rt,130,0,2014,Angel Olsen,Rock
3J5OtMrtDAw0IcanJR28Ya,130,0,2014,Texas In July,Christian
