song_id,year_end_score,is_pop,year,artist_id,song_name,artist_name,parent_genre
04S1pkp1VaIqjg8zZqknR5,26,0,2010,06HL4z0CvFAxyc27GXpf02,Enchanted,Taylor Swift,Pop
6PAL3nzEgroNOMurJAjpFX,26,0,2010,6dJeKm76NjfXBNTpHmOhfO,Falling Down,Selena Gomez & The Scene,Pop
2BuJG2fuvyTOMRyNHo0P17,26,0,2010,2gBjLmx6zQnFGQJCAQpRgw,Liv Tonight,Nelly,Pop
2CdGhu82tkVWkXDPyJCiwU,25,0,2010,2bA6fzP0lMAQ4kz6CF61w8,Trailerhood,Toby Keith,Country & Folk
2CIsr5cqDJeWffps0vtNeq,25,0,2010,43sZBwHjahUvgbx1WNIkIz,Rain,Creed,Rock
4eqLofleqZYnS6VrMlC6Oe,25,0,2010,10XUlQtxGQTJAPJlRN5aF0,The Boy Is Mine (Karaoke Version),Ameritz Karaoke Planet,Other
03teNQu8rWlFnNzF1ULXIq,24,0,2010,533HtQP5btWIZcKlHJtEWK,Starstruck,Christopher Wilde,Pop
393MDhe62s8hbH8ETrlxe5,24,0,2010,0fA0VVWsXO9YnASrzqfmYu,Mr. Rager,Kid Cudi,Hip Hop
5BB0Jzw60KyfSTyjJqtely,24,0,2010,7FBcuc1gsnv6Y1nwFtNRCb,Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance,Rock
3JTMWdhcJPiegDSe7SvZS3,24,0,2010,6LqNN22kT3074XbTVUrhzX,Cannibal,Kesha,Pop
5x2GqyWHFsrlPI1uMWhibi,24,0,2010,12Chz98pHFMPJEknJQMWvI,Neutron Star Collision (Love is Forever),Muse,Rock
74HYrIbnpc2xKCTenv5qKM,23,0,2010,7IfculRW2WXyzNQ8djX8WX,Window Seat,Erykah Badu,R&B & Funk
1ojdrbpUqSQ8ItXs4tZQwd,23,0,2010,0SCbttzoZTnLFebDYmAWCm,Borderline / Open Your Heart (Glee Cast Version),Glee Cast,Other
0uEi9GWwleWOmZrrvZo17Z,22,0,2010,7nU4hB040gTmHm45YYMvqc,Ordinary Girl,Hannah Montana,Pop
5sKuVASn4mzf7lTOUfaLVK,22,0,2010,0SCbttzoZTnLFebDYmAWCm,Another One Bites The Dust (Glee Cast Version),Glee Cast,Other
0R2yQJOFsKqS0SsgPdWqtP,22,0,2010,1wgY8huggK60P5nvYrwcYT,G.R.I.N.D. (Get Ready It's A New Day),Asher Roth,Hip Hop
1hiIyiFaVmFvYKDnEWGzvb,21,0,2010,0hYxQe3AK5jBPCr5MumLHD,Little Miss,Sugarland,Country & Folk
3EZAnO8lnPCBCcJcwAZbEB,20,0,2010,3TOqt5oJwL9BE2NG9MEwDa,Another Way to Die,Disturbed,Rock
05U9c8s9N8YUXNzGv3k4c7,20,0,2010,0SCbttzoZTnLFebDYmAWCm,Lady Is A Tramp (Glee Cast Version),Glee Cast,Other
